,, User Campaign Missions Created Week,2025-12-29,2025-12-29,2026-01-05,2026-01-05,2026-01-12,2026-01-12,2026-01-19,2026-01-19,2026-01-26,2026-01-26,2026-02-02,2026-02-02,2026-02-09,2026-02-09,2026-02-16,2026-02-16,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-09,2026-03-09,2026-03-16,2026-03-16
69788db79cdcb10e9c745773,WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,Зроби покупку на white.market (на будь-яку суму),,,,,,,,,804,133,781,102,335,47,263,46,164,17,,,,,,
69a0180a5c6a525e32477efa,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зіграй 1 матч,,,,,,,,,,,,,,,,,,,"32,826","30,655","8,853","7,291","3,594","2,510"
69a0184eb306fc620c2ff19f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зіграй 1 матч,,,,,,,,,,,,,,,,,,,"13,660","13,021","2,602","2,159",914,658
69a0184eb306fc620c2ff19f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,,,,,,,,,31,3,13,0,16,0
69788d1e9cdcb10e9c745770,WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,1,0,4,0,2,0,,,,,,,,
69788d1e9cdcb10e9c745770,WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,Зіграй 1 матч,,,,,,,,,"7,015","6,896","5,685","5,408","2,773","2,510","2,043","1,769","1,325","1,001",,,,,,
69a01893dfc93da9c310dde7,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зроби покупку на white.market (на будь-яку суму),,,,,,,,,,,,,,,,,,,"1,793",224,361,36,126,11
69788d1e9cdcb10e9c745770,WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",,,,,,,,,1,0,24,3,26,4,23,0,22,4,,,,,,
69a01893dfc93da9c310dde7,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,Зіграй 1 матч,,,,,,,,,,,,,,,,,,,"1,972","1,910",361,306,119,86
69a01893dfc93da9c310dde7,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,,,,,,,,,3,0,12,1,3,0
69788db79cdcb10e9c745773,WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,Зіграй 1 матч,,,,,,,,,975,965,775,742,357,316,272,234,157,124,,,,,,
69a0180a5c6a525e32477efa,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,,,,,,,,,11,2,20,1,11,0
69788d1e9cdcb10e9c745770,WHITEMARKET MISSION 2 - AL + NO BUY - UA - FEBRUARY26,Зроби покупку на white.market (на будь-яку суму),,,,,,,,,"5,603",35,"5,782",46,"2,632",11,"2,010",4,"1,305",2,,,,,,
69788db79cdcb10e9c745773,WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",,,,,,,,,16,2,94,12,94,10,96,7,43,3,,,,,,
69a0180a5c6a525e32477efa,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Здобудь 2 перемоги,,,,,,,,,,,,,,,,,,,"28,297","23,314","8,211","4,661","3,246","1,036"
69a0180a5c6a525e32477efa,WHITEMARKET MISSION 1 - NO AL - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),,,,,,,,,,,,,,,,,,,"18,119",32,"7,543",14,"2,878",4
69a0184eb306fc620c2ff19f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,Зроби покупку на white.market (на будь-яку суму),,,,,,,,,,,,,,,,,,,"12,206",56,"2,552",4,900,2
69788db79cdcb10e9c745773,WHITEMARKET MISSION 3 - AL + BUY - UA  - FEBRUARY26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",,,,,,,,,1,0,7,2,8,1,10,0,8,2,,,,,,
694552178e214f349b544e0c,WHITEMARKET MISSION 2 - AL + NO BUY - UA - JANUARY26,"Buy $300+  (single purchase, not commulative)",,,,,2,0,2,0,2,0,,,,,,,,,,,,,,
69a01893dfc93da9c310dde7,WHITEMARKET MISSION 3 - AL + BUY - UA  - MARCH26,"Купи скін за $100+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,,,,,,,,,138,13,88,5,41,1
69a0184eb306fc620c2ff19f,WHITEMARKET MISSION 2 - AL + NO BUY - UA - MARCH26,"Купи скін за $300+ (однією покупкою, декілька не накопичуються)",,,,,,,,,,,,,,,,,,,3,0,,,,
