User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
697894869cdcb10e9c74577d,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"58,110","58,110"
697894869cdcb10e9c74577d,0,shop_item,697b4f0463a4d5c0bc82da81,IN_PROGRESS,"55,008","55,005"
697894869cdcb10e9c74577d,0,unknown,,CLAIMED,"55,710","55,045"
697894869cdcb10e9c74577d,0,shop_item,697b4d3363a4d5c0bc82da7d,FAILED,32,32
697894b59cdcb10e9c74577e,0,shop_item,697b4d3363a4d5c0bc82da7d,FAILED,19,15
697894b59cdcb10e9c74577e,0,unknown,,EXPIRED,"35,658","24,599"
697894b59cdcb10e9c74577e,0,shop_item,697b4f3b0f8e5781e4e2ef59,IN_PROGRESS,"23,616","23,612"
697894b59cdcb10e9c74577e,0,unknown,,CLAIMED,"23,982","23,635"
697894b59cdcb10e9c74577e,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"24,927","24,925"
697894b59cdcb10e9c74577e,0,unknown,,COMPLETED,"12,880","12,573"
697894e188d3595e56b6783c,0,unknown,,EXPIRED,"27,155","14,739"
697894e188d3595e56b6783c,0,unknown,,COMPLETED,794,617
697894e188d3595e56b6783c,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,179,179
697894e188d3595e56b6783c,0,shop_item,697b4d9e4a8b2b983c4cd702,IN_PROGRESS,"14,748","14,748"
697894e188d3595e56b6783c,0,shop_item,697b4df763a4d5c0bc82da7f,IN_PROGRESS,"13,025","13,022"
697894e188d3595e56b6783c,0,unknown,,CLAIMED,796,617
6978951588d3595e56b6783d,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,53,53
6978951588d3595e56b6783d,0,unknown,,CLAIMED,"2,149","2,094"
6978951588d3595e56b6783d,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"2,237","2,237"
6978951588d3595e56b6783d,0,shop_item,697b4df763a4d5c0bc82da7f,IN_PROGRESS,"2,087","2,087"
