Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Hong Kong,2026-04-03,153,$0.03 ,$0.19 ,4.94%
India,2026-04-01,152,$0.00 ,$0.03 ,5.64%
Spain,2026-04-01,149,$0.03 ,$0.18 ,3.94%
Mexico,2026-03-31,148,$0.07 ,$0.51 ,31.36%
Spain,2026-04-07,148,$0.03 ,$0.19 ,3.53%
Taiwan,2026-04-05,148,$0.02 ,$0.12 ,2.30%
Slovakia,2026-04-06,147,$0.01 ,$0.03 ,7.34%
Spain,2026-04-06,147,$0.02 ,$0.14 ,3.70%
Netherlands,2026-04-05,146,$0.02 ,$0.16 ,4.26%
Denmark,2026-04-07,143,$0.04 ,$0.25 ,4.59%
Romania,2026-04-07,142,$0.05 ,$0.37 ,3.96%
Denmark,2026-04-02,140,$0.07 ,$0.49 ,3.30%
Chile,2026-04-02,139,$0.05 ,$0.33 ,18.01%
Switzerland,2026-04-03,139,$0.02 ,$0.12 ,12.83%
Slovakia,2026-03-30,137,$0.06 ,$0.43 ,3.86%
Slovakia,2026-04-08,137,$0.00 ,$0.01 ,9.55%
Ukraine,2026-03-31,134,$0.02 ,$0.14 ,0.90%
Denmark,2026-04-06,133,$0.03 ,$0.25 ,3.57%
Denmark,2026-04-01,132,$0.05 ,$0.36 ,6.10%
Romania,2026-04-06,131,$0.07 ,$0.57 ,4.26%
Switzerland,2026-04-08,131,$0.01 ,$0.08 ,16.95%
Taiwan,2026-04-03,130,$0.01 ,$0.10 ,2.13%
Singapore,2026-04-01,129,$0.02 ,$0.16 ,4.96%
Switzerland,2026-03-31,129,$0.02 ,$0.18 ,6.18%
Turkiye,2026-03-30,128,$0.01 ,$0.05 ,1.26%
Denmark,2026-03-30,126,$0.04 ,$0.35 ,4.91%
Portugal,2026-04-05,126,$0.02 ,$0.14 ,3.09%
Thailand,2026-04-01,126,$0.01 ,$0.10 ,6.16%
Bulgaria,2026-04-02,125,$0.00 ,$0.01 ,8.66%
Romania,2026-04-08,122,$0.04 ,$0.34 ,3.25%
Hungary,2026-03-30,121,$0.03 ,$0.25 ,3.74%
Netherlands,2026-04-06,120,$0.02 ,$0.20 ,5.65%
