Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Cores,Client Hardware Details V2 Manufacturer,Client Hardware Details V2 Device Name
,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,compx,keyboard
,amd ryzen 5 5600 6-core processor              ,12,sonix,mouse
,amd ryzen 9 7950x3d 16-core processor          ,32,logitech,mouse
,amd ryzen 7 7800x3d 8-core processor           ,16,,keyboard
,amd ryzen 7 7800x3d 8-core processor           ,16,semico  ,keyboard
,amd ryzen 9 7900x 12-core processor            ,24,logitech,keyboard
,amd ryzen 5 5600 6-core processor              ,12,pixart,keyboard
,amd ryzen 7 6800h with radeon graphics         ,16,(standart sistem aygıtları),mouse
,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,razer,keyboard
,amd ryzen 7 7700x 8-core processor             ,16,,keyboard
,amd ryzen 9 7900 12-core processor             ,24,,keyboard
,amd ryzen 5 5600 6-core processor              ,12,steelseries aps,keyboard
,amd ryzen 5 5500                               ,12,sinowealthmf,keyboard
,amd ryzen 5 5600x 6-core processor             ,12,instant,keyboard
,amd ryzen 7 7800x3d 8-core processor           ,16,logitech,mouse
,amd ryzen 7 7700x 8-core processor             ,16,logitech,keyboard
,amd ryzen 5 5600 6-core processor              ,12,      ,keyboard
,amd ryzen 7 7700x 8-core processor             ,16,corsair,keyboard
,amd ryzen 5 5500                               ,12,(standart sistem aygıtları),mouse
,amd ryzen 7 5700x 8-core processor             ,16,(standart sistem aygıtları),keyboard
,amd ryzen 7 7700 8-core processor              ,16,sonix,mouse
,amd ryzen 9 7950x3d 16-core processor          ,32,melgeek,keyboard
,amd ryzen 5 5600 6-core processor              ,12,razer,keyboard
 casper bilgisayar sistemleri,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,razer,mouse
 casper bilgisayar sistemleri,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,"shenzhen yizhita technology co., ltd",mouse
 casper bilgisayar sistemleri,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,razer,keyboard
 casper bilgisayar sistemleri,intel(r) core(tm) i5-10400f cpu @ 2.90ghz,12,"shenzhen yizhita technology co., ltd",keyboard
013a32992436c87,amd ryzen 9 5900x 12-core processor            ,24,wooting,mouse
013a32992436c87,amd ryzen 9 5900x 12-core processor            ,24,wooting,keyboard
013a32992436c87,amd ryzen 9 5900x 12-core processor            ,24,logitech,keyboard
013a32992436c87,amd ryzen 9 5900x 12-core processor            ,24,logitech,mouse
10492-8930-4064,amd ryzen 7 4800h with radeon graphics         ,16,instant,keyboard
10492-8930-4064,amd ryzen 7 4800h with radeon graphics         ,16,asustek computer inc.,keyboard
10492-8930-4064,amd ryzen 7 4800h with radeon graphics         ,16,microsoft,mouse
10492-8930-4064,amd ryzen 7 4800h with radeon graphics         ,16,instant,mouse
10492-8930-4064,amd ryzen 7 4800h with radeon graphics         ,16,semico  ,keyboard
1052618980649723021,amd ryzen 7 7700x 8-core processor             ,16,attack shark,mouse
1052618980649723021,amd ryzen 7 7700x 8-core processor             ,16,attack shark,keyboard
1052618980649723021,amd ryzen 7 7700x 8-core processor             ,16,wooting,mouse
1052618980649723021,amd ryzen 7 7700x 8-core processor             ,16,wooting,keyboard
1052618980649723021,amd ryzen 7 7700x 8-core processor             ,16,,keyboard
1053715455,amd ryzen 5 3600 6-core processor              ,12,compx,keyboard
1053715455,amd ryzen 5 3600 6-core processor              ,12,hengchangtong,keyboard
1053715455,amd ryzen 5 3600 6-core processor              ,12,compx,mouse
1149127748,amd ryzen 5 5500                               ,12,asustek,mouse
1149127748,amd ryzen 5 5500                               ,12,steelseries aps,mouse
1149127748,amd ryzen 5 5500                               ,12,asustek,keyboard
1149127748,amd ryzen 5 5500                               ,12,steelseries,mouse
1149127748,amd ryzen 5 5500                               ,12,steelseries aps,keyboard
1161785219574,amd ryzen 5 5600x 6-core processor             ,12,razer,mouse
1161785219574,amd ryzen 5 5600x 6-core processor             ,12,razer,keyboard
1161785219574,amd ryzen 5 5600x 6-core processor             ,12,,keyboard
1161785219574,amd ryzen 5 5600x 6-core processor             ,12,,mouse
1161785219574,amd ryzen 5 5600x 6-core processor             ,12,semico  ,keyboard
12384ndasfiasd892931,12th gen intel(r) core(tm) i3-12100f,8,      ,mouse
12384ndasfiasd892931,12th gen intel(r) core(tm) i3-12100f,8,razer,mouse
12384ndasfiasd892931,12th gen intel(r) core(tm) i3-12100f,8,      ,keyboard
12384ndasfiasd892931,12th gen intel(r) core(tm) i3-12100f,8,razer,keyboard
127942,amd ryzen 5 5500                               ,12,logitech,mouse
127942,amd ryzen 5 5500                               ,12,logitech,keyboard
127942,amd ryzen 5 5500                               ,12,semico  ,keyboard
12bba364eab6679,amd ryzen 7 5700x 8-core processor             ,16,sonix,mouse
12bba364eab6679,amd ryzen 7 5700x 8-core processor             ,16,,keyboard
12bba364eab6679,amd ryzen 7 5700x 8-core processor             ,16,logitech,keyboard
12bba364eab6679,amd ryzen 7 5700x 8-core processor             ,16,logitech,mouse
12bba364eab6679,amd ryzen 7 5700x 8-core processor             ,16,sonix,keyboard
145361482222080,12th gen intel(r) core(tm) i5-12400f,12,corsair,keyboard
145361482222080,12th gen intel(r) core(tm) i5-12400f,12,,keyboard
145361482222080,12th gen intel(r) core(tm) i5-12400f,12,,mouse
145361482222080,12th gen intel(r) core(tm) i5-12400f,12,logitech,keyboard
145361482222080,12th gen intel(r) core(tm) i5-12400f,12,corsair,mouse
148631105201712806,amd ryzen 5 5600 6-core processor              ,12,logitech,keyboard
148631105201712806,amd ryzen 5 5600 6-core processor              ,12,,keyboard
152346322791,amd ryzen 5 8400f 6-core processor             ,12,razer,keyboard
152346322791,amd ryzen 5 8400f 6-core processor             ,12,instant,keyboard
152346322791,amd ryzen 5 8400f 6-core processor             ,12,instant,mouse
152346322791,amd ryzen 5 8400f 6-core processor             ,12,razer,mouse
16475-2540-12796,amd ryzen 5 5600x 6-core processor             ,12,logitech,keyboard
16475-2540-12796,amd ryzen 5 5600x 6-core processor             ,12,sino wealth,keyboard
16475-2540-12796,amd ryzen 5 5600x 6-core processor             ,12,logitech,mouse
16475-2540-12796,amd ryzen 5 5600x 6-core processor             ,12,,keyboard
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,steelseries aps,mouse
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,company ,mouse
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,company ,keyboard
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,steelseries,mouse
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,,mouse
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,by tech,keyboard
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,steelseries aps,keyboard
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,by tech,mouse
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,,keyboard
2727283602357,12th gen intel(r) core(tm) i3-12100f,8,steelseries,keyboard
2916825710284029186,amd ryzen 5 5500                               ,12,razer,mouse
2916825710284029186,amd ryzen 5 5500                               ,12,sino wealth,keyboard
2916825710284029186,amd ryzen 5 5500                               ,12,razer,keyboard
291df586b7b130d,amd ryzen 5 5500                               ,12,compx,keyboard
291df586b7b130d,amd ryzen 5 5500                               ,12,"shenzhen yizhita technology co., ltd",mouse
291df586b7b130d,amd ryzen 5 5500                               ,12,"shenzhen yizhita technology co., ltd",keyboard
291df586b7b130d,amd ryzen 5 5500                               ,12,compx,mouse
2vmybpotjspvjsl,intel(r) core(tm) i7-6700hq cpu @ 2.60ghz,8,(standart sistem aygıtları),mouse
2vmybpotjspvjsl,intel(r) core(tm) i7-6700hq cpu @ 2.60ghz,8,zxwmicrochip,mouse
2vmybpotjspvjsl,intel(r) core(tm) i7-6700hq cpu @ 2.60ghz,8,(standart sistem aygıtları),keyboard
2vmybpotjspvjsl,intel(r) core(tm) i7-6700hq cpu @ 2.60ghz,8,zxwmicrochip,keyboard
3142612656825,intel(r) core(tm) i5-14600kf,20,compx,keyboard
3142612656825,intel(r) core(tm) i5-14600kf,20,(standart sistem aygıtları),mouse
3142612656825,intel(r) core(tm) i5-14600kf,20,(standart sistem aygıtları),keyboard
3142612656825,intel(r) core(tm) i5-14600kf,20,compx,mouse
3jvxpalnmlvppiw,12th gen intel(r) core(tm) i5-12400f,12,(standart sistem aygıtları),keyboard
3jvxpalnmlvppiw,12th gen intel(r) core(tm) i5-12400f,12,steelseries aps,keyboard
3jvxpalnmlvppiw,12th gen intel(r) core(tm) i5-12400f,12,steelseries aps,mouse
3jvxpalnmlvppiw,12th gen intel(r) core(tm) i5-12400f,12,steelseries,keyboard
434192792fce821,12th gen intel(r) core(tm) i5-12400f,12,sino wealth,mouse
434192792fce821,12th gen intel(r) core(tm) i5-12400f,12,razer,mouse
434192792fce821,12th gen intel(r) core(tm) i5-12400f,12,sino wealth,keyboard
434192792fce821,12th gen intel(r) core(tm) i5-12400f,12,razer,keyboard
4354353454647,amd ryzen 5 5500                               ,12,compx,keyboard
4354353454647,amd ryzen 5 5500                               ,12,by tech,keyboard
4354353454647,amd ryzen 5 5500                               ,12,by tech,mouse
4354353454647,amd ryzen 5 5500                               ,12,compx,mouse
4354353454647,amd ryzen 5 5500                               ,12,cx,mouse
4354353454647,amd ryzen 5 5500                               ,12,cx,keyboard
450d2ca9f150f6f,amd ryzen 5 7500f 6-core processor             ,12,razer,keyboard
450d2ca9f150f6f,amd ryzen 5 7500f 6-core processor             ,12,logitech,mouse
450d2ca9f150f6f,amd ryzen 5 7500f 6-core processor             ,12,razer,mouse
450d2ca9f150f6f,amd ryzen 5 7500f 6-core processor             ,12,logitech,keyboard
45753283645,amd ryzen 5 5600 6-core processor              ,12,instant,mouse
45753283645,amd ryzen 5 5600 6-core processor              ,12,zxzk  hy-61 64,keyboard
45753283645,amd ryzen 5 5600 6-core processor              ,12,instant,keyboard
5462-16515-8858,amd ryzen 5 5600 6-core processor              ,12,cx,keyboard
5462-16515-8858,amd ryzen 5 5600 6-core processor              ,12,(standart sistem aygıtları),keyboard
5462-16515-8858,amd ryzen 5 5600 6-core processor              ,12,(standart sistem aygıtları),mouse
5462-16515-8858,amd ryzen 5 5600 6-core processor              ,12,cx,mouse
54hrvk,amd ryzen 5 5600 6-core processor              ,12,by tech,keyboard
54hrvk,amd ryzen 5 5600 6-core processor              ,12,instant,mouse
54hrvk,amd ryzen 5 5600 6-core processor              ,12,instant,keyboard
54hrvk,amd ryzen 5 5600 6-core processor              ,12,by tech,mouse
677331424,12th gen intel(r) core(tm) i5-12400f,12,semico,keyboard
677331424,12th gen intel(r) core(tm) i5-12400f,12,logitech,mouse
677331424,12th gen intel(r) core(tm) i5-12400f,12,logitech,keyboard
677331424,12th gen intel(r) core(tm) i5-12400f,12,,keyboard
6a0a3c1d3fa8a60,amd ryzen 5 5600 6-core processor              ,12,steelseries aps,keyboard
6a0a3c1d3fa8a60,amd ryzen 5 5600 6-core processor              ,12,steelseries aps,mouse
6a0a3c1d3fa8a60,amd ryzen 5 5600 6-core processor              ,12,steelseries,keyboard
6a0a3c1d3fa8a60,amd ryzen 5 5600 6-core processor              ,12,steelseries,mouse
6f60202d23fad27,amd ryzen 7 5800x3d 8-core processor           ,16,logitech,keyboard
6f60202d23fad27,amd ryzen 7 5800x3d 8-core processor           ,16,,keyboard
6f60202d23fad27,amd ryzen 7 5800x3d 8-core processor           ,16,by tech,keyboard
710e31239b24e3f,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,logitech,keyboard
710e31239b24e3f,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,,keyboard
710e31239b24e3f,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,razer,keyboard
710e31239b24e3f,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,logitech,mouse
710e31239b24e3f,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,razer,mouse
88b447dc8343466,amd ryzen 5 3600 6-core processor              ,12,instant,mouse
88b447dc8343466,amd ryzen 5 3600 6-core processor              ,12,usb keyboard,keyboard
88tvehdnrdfcwp0,12th gen intel(r) core(tm) i5-12400f,12,beken,keyboard
88tvehdnrdfcwp0,12th gen intel(r) core(tm) i5-12400f,12,zxwmicrochip,keyboard
88tvehdnrdfcwp0,12th gen intel(r) core(tm) i5-12400f,12,beken,mouse
88tvehdnrdfcwp0,12th gen intel(r) core(tm) i5-12400f,12,zxwmicrochip,mouse
88tvehdnrdfcwp0,12th gen intel(r) core(tm) i5-12400f,12,,keyboard
_____________________________,not available,12,"hp, inc",mouse
_____________________________,not available,12,"hp, inc",keyboard
abs computer technologies,amd ryzen 7 7700x 8-core processor             ,16,steelseries,keyboard
abs computer technologies,amd ryzen 7 7700x 8-core processor             ,16,(standart sistem aygıtları),keyboard
abs computer technologies,amd ryzen 7 7700x 8-core processor             ,16,steelseries aps,mouse
abs computer technologies,amd ryzen 7 7700x 8-core processor             ,16,steelseries aps,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,12,cx,keyboard
acer,12th gen intel(r) core(tm) i5-12500h,16,by tech,keyboard
acer,amd ryzen 7 6800h with radeon graphics         ,16,lenovo,mouse
acer,amd ryzen 5 7535hs with radeon graphics        ,12,cx,mouse
acer,13th gen intel(r) core(tm) i9-13900hx,32,telink,keyboard
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,sonix,mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,logitech,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,12,nordicsemiconductor,keyboard
acer,12th gen intel(r) core(tm) i5-12400f,12,xctech,mouse
acer,12th gen intel(r) core(tm) i7-12650h,16,(standard system devices),mouse
acer,12th gen intel(r) core(tm) i5-12400f,12,instant,keyboard
acer,12th gen intel(r) core(tm) i5-12400f,12,corsair,mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,endgamegear,keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,logitech,keyboard
acer,intel(r) core(tm) i5-14450hx,16,,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,ryochan7,mouse
acer,13th gen intel(r) core(tm) i5-13500hx,20,compx,keyboard
acer,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,logitech,mouse
acer,intel(r) core(tm) 5 210h,12,razer,keyboard
acer,11th gen intel(r) core(tm) i5-11300h @ 3.10ghz,8,logitech,mouse
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,razer,keyboard
acer,amd ryzen 5 5600h with radeon graphics         ,12,instant,mouse
acer,12th gen intel(r) core(tm) i5-12400f,12,sonix,keyboard
acer,11th gen intel(r) core(tm) i5-11400h @ 2.70ghz,12,(standart sistem aygıtları),keyboard
acer,intel(r) core(tm) i7-10750h cpu @ 2.60ghz,12,steelseries aps,keyboard
acer,13th gen intel(r) core(tm) i5-13420h,12,beken,mouse
acer,12th gen intel(r) core(tm) i5-12400f,12,xctech,keyboard
acer,13th gen intel(r) core(tm) i7-13700hx,24,instant,mouse
acer,amd ryzen 7 6800h with radeon graphics         ,16,sino wealth,keyboard
acer,amd ryzen 5 4600h with radeon graphics         ,12,microsoft,mouse
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,steelseries aps,mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,steelseries aps,keyboard
acer,amd ryzen 5 6600h with radeon graphics         ,12,instant,mouse
acer,11th gen intel(r) core(tm) i5-11300h @ 3.10ghz,8,microsoft,mouse
acer,intel(r) core(tm) i5-8300h cpu @ 2.30ghz,8,logitech,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,by tech,mouse
acer,13th gen intel(r) core(tm) i7-13700hx,24,razer,mouse
acer,12th gen intel(r) core(tm) i7-12650h,16,semico,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,12,xinshu,mouse
acer,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8,steelseries aps,mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,usb,keyboard
acer,13th gen intel(r) core(tm) i5-13420h,12,cx,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,wings tech,mouse
acer,intel(r) core(tm) i7-7700hq cpu @ 2.80ghz,8,steelseries aps,keyboard
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,razer,keyboard
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16, ,mouse
acer,amd ryzen 5 7535hs with radeon graphics        ,12,microsoft,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,wings tech,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,pixart,mouse
acer,intel(r) core(tm) i5-14450hx,16,e-signal,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,pixart,keyboard
acer,amd ryzen 7 8845hs w/ radeon 780m graphics     ,16,yjx-chip,keyboard
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,sinowealth,keyboard
acer,amd ryzen 5 5600h with radeon graphics         ,12,sonix,keyboard
acer,intel(r) core(tm) 5 210h,12,ht,mouse
acer,amd ryzen 7 4800h with radeon graphics         ,16,razer,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,12,"shenzhen yizhita technology co., ltd",mouse
acer,intel(r) core(tm) i7-10750h cpu @ 2.60ghz,12,steelseries aps,mouse
acer,amd ryzen 5 7535hs with radeon graphics        ,12,corsair,keyboard
acer,12th gen intel(r) core(tm) i5-1240p,16,logitech,mouse
acer,12th gen intel(r) core(tm) i5-1240p,16,(standard system devices),mouse
acer,12th gen intel(r) core(tm) i7-12650h,16,semico  ,keyboard
acer,amd ryzen 5 6600h with radeon graphics         ,12,zxwmicrochip,mouse
acer,amd ryzen 5 4600h with radeon graphics         ,12,razer,mouse
acer,amd ryzen 5 8645hs w/ radeon 760m graphics,12,(standart sistem aygıtları),keyboard
acer,amd ryzen 5 7535hs with radeon graphics        ,12, ,keyboard
acer,12th gen intel(r) core(tm) i7-12700f,20,,keyboard
acer,13th gen intel(r) core(tm) i5-13420h,12,usb,keyboard
acer,12th gen intel(r) core(tm) i5-12500h,16,kingston,mouse
acer,12th gen intel(r) core(tm) i5-12400f,12,razer,mouse
acer,amd ryzen 7 7735hs with radeon graphics        ,16,microsoft,mouse
acer,12th gen intel(r) core(tm) i5-1240p,16,logitech,keyboard
acer,13th gen intel(r) core(tm) i5-13500hx,20,compx,mouse
acer,amd ryzen 5 8645hs w/ radeon 760m graphics,12,microsoft,mouse
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,steelseries aps,keyboard
acer,amd ryzen 5 5500u with radeon graphics         ,12,(standart sistem aygıtları),mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,(standard system devices),keyboard
acer,11th gen intel(r) core(tm) i7-11800h @ 2.30ghz,16,sonix,keyboard
acer,amd ryzen 7 5800h with radeon graphics         ,16,usb keyboard,keyboard
acer,amd ryzen 7 8845hs w/ radeon 780m graphics     ,16,,keyboard
acer,12th gen intel(r) core(tm) i5-12450h,8,microsoft,mouse
acer,amd ryzen 5 7535hs with radeon graphics        ,12,(standart sistem aygıtları),mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,hengchangtong,keyboard
acer,amd ryzen 5 7535hs with radeon graphics        ,12,(standart sistem aygıtları),keyboard
acer,amd ryzen 5 4600h with radeon graphics         ,12,steelseries aps,mouse
acer,amd ryzen 7 7840hs w/ radeon 780m graphics     ,16,microsoft,mouse
acer,12th gen intel(r) core(tm) i5-12500h,16,instant,mouse
acer,11th gen intel(r) core(tm) i7-11700f @ 2.50ghz,16,(standart sistem aygıtları),keyboard
acer,13th gen intel(r) core(tm) i7-13700hx,24,sdinnovation,keyboard
acer,amd ryzen 7 6800h with radeon graphics         ,16,asustek,keyboard
acer,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,(standardsystemenheter),keyboard
acer,13th gen intel(r) core(tm) i5-13500hx,20,hengchangtong,keyboard
acer,12th gen intel(r) core(tm) i5-12400f,12,steelseries aps,mouse
acer,11th gen intel(r) core(tm) i5-11300h @ 3.10ghz,8,,keyboard
acer,amd ryzen 7 8845hs w/ radeon 780m graphics     ,16,logitech,mouse
acer,13th gen intel(r) core(tm) i7-13700hx,24,unified intents ab,keyboard
acer,amd ryzen 5 7535hs with radeon graphics        ,12,razer,mouse
acer,amd ryzen 7 4800h with radeon graphics         ,16,microsoft,mouse
acer,13th gen intel(r) core(tm) i5-13420h,12,sonix,keyboard
acer,12th gen intel(r) core(tm) i7-12650h,16,rivierawaves_sas,mouse
acer,13th gen intel(r) core(tm) i9-13900hx,32,instant,keyboard
acer,intel(r) core(tm) i5-9300h cpu @ 2.40ghz,8,microsoft,mouse
acer,12th gen intel(r) core(tm) i7-12700h,20,wings tech,mouse
acer,12th gen intel(r) core(tm) i7-12700f,20,instant,keyboard
acer,intel(r) core(tm) i7-10870h cpu @ 2.20ghz,16,razer,keyboard
acer,11th gen intel(r) core(tm) i5-11400f @ 2.60ghz,12,(standardsystemenheter),mouse
acer,amd ryzen 7 6800h with radeon graphics         ,16,company,keyboard
acer,intel(r) core(tm) i9-14900hx,32,semico  ,keyboard
